age,country,self_employed,benefits,mental_health_consequence,phys_health_consequence
37,United States,,Yes,No,No
44,United States,,Don't know,Maybe,No
32,Canada,,No,No,No
31,United Kingdom,,No,Yes,Yes
31,United States,,Yes,No,No
33,United States,,Yes,No,No
35,United States,,No,Maybe,Maybe
39,Canada,,No,No,No
42,United States,,Yes,Maybe,No
23,Canada,,Don't know,No,No
31,United States,,Don't know,No,No
29,Bulgaria,,Don't know,No,No
42,United States,,Yes,Yes,Yes
36,United States,,Don't know,No,No
27,Canada,,Don't know,No,No
29,United States,,Yes,No,No
23,United Kingdom,,Don't know,Maybe,No
32,United States,,Yes,Maybe,No
46,United States,Yes,Yes,No,No
36,France,Yes,No,No,No
29,United States,No,Yes,Maybe,No
31,United States,Yes,No,No,No
46,United States,No,Yes,Maybe,No
41,United States,No,Don't know,Maybe,No
33,United States,No,Yes,No,No
35,United States,No,Yes,Yes,No
33,United States,No,Don't know,Maybe,Maybe
35,United States,No,Yes,No,No
34,United States,No,Don't know,No,No
37,United Kingdom,No,No,Yes,Maybe
32,United Kingdom,No,No,Yes,Yes
31,United States,Yes,No,Yes,No
30,United Kingdom,No,Don't know,Maybe,No
42,United States,No,Yes,Maybe,No
40,United States,No,Yes,Maybe,No
27,United States,No,No,No,No
29,Canada,No,No,Yes,Maybe
38,Portugal,No,No,Maybe,No
50,United States,No,Yes,No,No
35,United States,No,Yes,No,No
24,United Kingdom,No,No,Maybe,Maybe
35,United States,No,Yes,Yes,Yes
27,Canada,No,No,Maybe,No
18,Netherlands,No,No,Yes,Maybe
30,United States,No,Don't know,No,No
38,United States,No,Yes,No,No
28,United Kingdom,No,Don't know,No,Maybe
34,United States,No,No,No,No
26,Canada,Yes,No,No,No
30,United States,No,Yes,Maybe,No
22,United States,No,No,Maybe,No
33,United States,No,Don't know,No,No
31,United States,No,Don't know,Maybe,Maybe
32,United States,No,Don't know,Maybe,No
28,Switzerland,No,No,No,No
27,United States,No,Yes,Maybe,No
